Unit,Affiliation,Audio-video,Battalion,Bibliography Attachment,Book,Brigade,Command,Company,Competing Units,Date,Date Dissolved,Designation - Primary,Designation Secondary,Dissolve Trigger,Division,Duration of Service,Fate,Final Affiliation,Formation Date,Formation Trigger,HEBREW,IDF INDIVIDUALS,Individuals Glossary copy,Individuals1,Individuals2,Inspired by,Level of Conflict,Location,Number of Soldiers Formed,Number of Soldiers Later,Operational Attributes,Operations,Organizational Attributes,Predecessor,Predecessor Unit,Prestige,Prestige Cultivation,Profession,Reference,Reference 1,References,Regional Command,Role,Selection,Size,Size Formed,Sub-Unit,Successor,Successor Unit,TOC,Tactics,Tags,Training,Training Attributes,URL,Unit 1,Vehicles,Wars and Operations,Weapons,"Year Disbanded ",Year Established,כותרת אנליטית
Shayetet 13,Navy,,,,,,Navy,,,,,,,,,,,,,,שייטת 13,"Yohai Ben-Nun (https://www.notion.so/Yohai-Ben-Nun-a52336419e9b46419ec9b8fdf0e61a4f?pvs=21), Ami Ayalon (https://www.notion.so/Ami-Ayalon-f42c3da7191f4dfe86bdb481b8ded043?pvs=21), Fiorenzo Capriotti (https://www.notion.so/Fiorenzo-Capriotti-48f3b8ce57784a0797c3f8ccb43caa0e?pvs=21), Yosef Dror (https://www.notion.so/Yosef-Dror-4201c161c07d4911990cc230887e514e?pvs=21), Zeev Almog (https://www.notion.so/Zeev-Almog-927e924d8501432c88030a6aa8c9f1ae?pvs=21)",,,,,,עתלית,,,לוחמה זעירה,Barzelit;,,"Divers, Palyam Sea Company, Port Company, The 4th Battalion",,,,,,,,,Naval Commando,,Brigade,,,,,35,,,,,,,,,,,1950,
Nahal unit before 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,1950,
Golani Engineering company,"Golani Brigade, Infantry",,,,,,North,,,,,"לחימת חי""ר תוך שילוב כשירויות הנדסה וחבלה: התמודדות עם מוקשים ומטענים, מילכוד מתקני אוייב, פילוס נתיבים והקמת גישור וביצורים, פיצוץ, פריצה והשמדה.","במלחמת יום הכיפורים שימשה הפלחה""ן כסיירת",,,,,,,,"פלחה""ן גולני מילואים",,,שייקה ארז,,,,,23 לוחמים,,,,,Golani Engineering company,"סיירת אגוז, גולני",,,,,,,,Engineering,ריכוז של 50 חיילים משלושת גדודי החטיבה במסגרת גדוד 601 של הנדסה קרבית,Company,פלוגה,,Golani Engineering company,סיירת ארז - אלפיניסטים - אגוז,,"בעיקר מארבים, המנעה",,,,,,"ג'יפים וקומנדקרים ","ששת הימים, התשה, יום כיפור",ציוד ייחודי למארבים אמצעים לראיית לילה שפותחו עם רפאל,2001,1965,
Laskov Team - Weapons Development Unit,Engineering,,,,,,,,,,,,,,,,,,,,,David Laskov (https://www.notion.so/David-Laskov-6d1359bf243f46a680901ea78e22941c?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,1958,
Egoz 621,"89 Oz Brigade, Infantry",,,,,,North,,,,,לוחמת אנטי גרילה בתוואי השטח של דרום לבנון,"בלוחמה בגזרת הר חרמון, בט""ש גדה מערבית ועזה",,,,"Merged, The 89th Oz Brigade",OZ 89 Brigade,,המאבק עם חיזבאללה בדרום לבנון,יחידת אגוז אנטי גרילה ולוחמה זעירה,,," ארז צוקרמן"," משה (צ'יקו) תמיר",,נמוכה,,,,,,,Egoz Reconnaissance Unit,"סיירת אגוז, גולני",,,,,,,צפון,Commando,,Battalion,,,"""The 89th """"Oz"""" Brigade""",,37,"טירונות חי""ר ואימון מתקדם (7 חודשים); שלב מכין (חודשיים); שלב לחימה בסיסי; קורס צניחה (שבועיים); שלב לחימה מתקדם; הכוללים לוחמת שטח בתנאים שונים (אזורים מיוערים, לחימת סלעים, הסוואה ועוד, אימונים בתנאים קיצוניים בחרמון היחידה הוכשרה בבסיס אלייקים בבית ספר לוחמת גרילה שהוקם עבורה, פורק עם היציאה מלבנון והוקם מחדש אחרי מלחמת לבנון השניה",,16 חודשים,,,,,,,,2015,
Samson Foxes,"54 Battalion, Givati Brigade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,
Mechanized Infantry - Alon,500 Brigade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kfir Brigade,,,,,,,,,,,,,1988,
Ayit 595,Field Intelligence,,,,,,Northern,,,,,ויזינט - מודיעין קרבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,Visint,,Battalion,,,,,,,,,,,,,,,0,2000,
Kfir Brigade 900,"99 Division - The Maneuver Formation, Division 99, Kfir Brigade",,,,,,Center,,,,,,,,,,,,,,"סיירת חרוב ",,,,,,,,,,,,,,,,,,,,,,,,Brigade,,,,,,,,,,,,,,,,2017,
Mechanized Infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kfir Brigade,,,,,,,,,,,,,1988,
Mechanized Infantry - Eshchar,401 Brigade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kfir Brigade,,,,,,,,,,,,,1988,
Mechanized Infantry - Ashuach,500 Brigade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kfir Brigade,,,,,,,,,,,,,1988,
Mechanized Infantry - Eshbal,401 Brigade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kfir Brigade,,,,,,,,,,,,,1990,
Mechanized Infantry - Oren,188 Brigade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kfir Brigade,,,,,,,,,,,,,1992,
Sayeret Alon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit 5252,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,
Meitar 427,ATM,,,,,,North,,,,,,,,,,,,,,מיתר,,,,,,,,,,,,,Moran  427,,,,,,,,,ATGM,,,,,Meitar 427,,,,,,,,,,,,,2020,
Sayeret Golani,,https://www.idf.il/%D7%90%D7%AA%D7%A8%D7%99-%D7%99%D7%97%D7%99%D7%93%D7%95%D7%AA/%D7%97%D7%98%D7%99%D7%91%D7%AA-%D7%92%D7%95%D7%9C%D7%A0%D7%99/%D7%9B%D7%9C-%D7%94%D7%9B%D7%AA%D7%91%D7%95%D7%AA/2018/%D7%9E%D7%92%D7%93%D7%A1-%D7%A8-%D7%9C%D7%A1%D7%99%D7%99%D7%A8%D7%AA-%D7%94%D7%A6%D7%A6%D7%94-%D7%9C%D7%9E%D7%94%D7%A4%D7%9B%D7%94-%D7%91%D7%99%D7%97%D7%99%D7%93%D7%AA-%D7%94%D7%97%D7%95%D7%93-%D7%A9%D7%9C-%D7%92%D7%95%D7%9C%D7%A0%D7%99/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,
"935 - China - Mobility Team Nahal ",Nahal Brigade 933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,
Sayeret Nahal 934 - Topaz,Nahal Brigade 933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,
Chief infantry and paratrooper officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,
Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGINT Battalion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Squirrel,"ATM, Paratroopers",,,,,,,,,,,,,,,,,,"October 6, 1973",,,,,,,,,,,,,,,Unit 755,,,,,,,,,,,,,,"Maglan 212, Meitar 427, Moran, Orev",,,,,,,,,,,,,1973,
MATPA,Police,https://www.policemuseum.org.il/he/yehidat_matpa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,
Meitar 427,,,,,,,North,,,,,,,,,,,,,,מיתר,,,,,,,,,,,,,,,,,,,,,,ATGM,,,,,,,,,,,,,,,,,2017,2020,
סיירת צנחנים - פנל״ג,Paratroopers Brigade 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,
סיירת צנחנים חימוש משוטט,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פלוגות חשיפה תקיפה חימוש משוטט,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לבן על לבן: הצצה נדירה להכשרת לוחמי האלפיניסטים | ישראל היום,,https://www.israelhayom.co.il/magazine/shishabat/article/9205463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"רואים רחוק: לוחמי היחמ""ם נחשפים באימון מיוחד",,https://www.mako.co.il/pzm-units/field-intelligence/Article-a5c2763db4cd541006.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,https://www.kan.org.il/search/?hdyQ=%D7%9C%D7%95%D7%97%D7%9E%D7%99+669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
